nb_genes,name,product,type,partition,subpartition,partition_exact,partition_soft,length_avg,length_med,nb_organisms,Vibrio_coralliilyticus_RE22A,Vibrio_coralliilyticus_ATCC_BAA-450,Vibrio_coralliilyticus_OCN008,Vibrio_coralliilyticus_SNUTY-1,Vibrio_coralliilyticus_RE22B,Vibrio_coralliilyticus_AIC-7,Vibrio_coralliilyticus_S2052,Vibrio_coralliilyticus_S2043,viz,label,Vibrio_coralliilyticus_OCN014,Vibrio_coralliilyticus_080116A,Vibrio_coralliilyticus_RE98,Vibrio_coralliilyticus_NA0301,Vibrio_coralliilyticus_58,Vibrio_coralliilyticus_RE87,Vibrio_coralliilyticus_P1,degree
4,luxN_3,Autoinducer 1 sensor kinase/phosphatase LuxN,CDS,cloud,C,exact_accessory,soft_accessory,2522.0,2522,4,,,,KFHGEANF_04987,,NMLJHHJO_00531,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 4.0}",FLLLBHKB_04597,,,,PNJLNNEM_01687,FLLLBHKB_04597,,,2
4,luxM,Acyl-homoserine-lactone synthase LuxM,CDS,cloud,C,exact_accessory,soft_accessory,1187.0,1187,4,,,,KFHGEANF_04988,,NMLJHHJO_00532,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 4.0}",FLLLBHKB_04598,,,,PNJLNNEM_01686,FLLLBHKB_04598,,,2
15,cry1,Cryptochrome DASH,CDS,persistent,P,exact_core,soft_core,1312.6,1322,15,IJBHHNBA_01142,CPFIEJMN_01861,FKIKDOPA_00918,KFHGEANF_05016,MKACMLCG_04680,NMLJHHJO_00552,NFFLFIEF_03220,GIHCKAFH_03743,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",FLLLBHKB_04619,AADFBFMN_04460,PFGAHHNN_00550,HCPBJEEI_03564,PNJLNNEM_01665,FLLLBHKB_04619,ACOGLMFH_00482,AHGDBNMD_04729,2
1,rssB_1,Regulator of RpoS,CDS,cloud,C,exact_accessory,soft_accessory,662.0,662,1,,,,KFHGEANF_01202,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01202,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,437.0,437,1,,,,KFHGEANF_01203,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01203,,,,,,,,2
1,tig_1,Trigger factor,CDS,cloud,C,exact_accessory,soft_accessory,284.0,284,1,,,,KFHGEANF_01227,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01227,,,,,,,,2
1,tig_2,Trigger factor,CDS,cloud,C,exact_accessory,soft_accessory,329.0,329,1,,,,KFHGEANF_01228,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01228,,,,,,,,2
1,tig_3,Trigger factor,CDS,cloud,C,exact_accessory,soft_accessory,596.0,596,1,,,,KFHGEANF_01229,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01229,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,614.0,614,1,,,,KFHGEANF_01243,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01243,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,764.0,764,1,,,,KFHGEANF_01244,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01244,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,2201.0,2201,1,,,,KFHGEANF_01245,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01245,,,,,,,,2
1,cysB,HTH-type transcriptional regulator CysB,CDS,cloud,C,exact_accessory,soft_accessory,515.0,515,1,,,,KFHGEANF_01247,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01247,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,728.0,728,1,,,,KFHGEANF_01250,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01250,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,239.0,239,1,,,,KFHGEANF_01251,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01251,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,296.0,296,1,,,,KFHGEANF_01252,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01252,,,,,,,,2
1,btuD_1,Vitamin B12 import ATP-binding protein BtuD,CDS,cloud,C,exact_accessory,soft_accessory,488.0,488,1,,,,KFHGEANF_01253,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01253,,,,,,,,2
1,dusC_1,tRNA-dihydrouridine(16) synthase,CDS,cloud,C,exact_accessory,soft_accessory,290.0,290,1,,,,KFHGEANF_01255,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01255,,,,,,,,2
1,dusC_2,tRNA-dihydrouridine(16) synthase,CDS,cloud,C,exact_accessory,soft_accessory,590.0,590,1,,,,KFHGEANF_01256,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01256,,,,,,,,2
2,rarA_1,Replication-associated recombination protein A,CDS,cloud,C,exact_accessory,soft_accessory,200.0,200,2,,,,KFHGEANF_01260,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 2.0}",KFHGEANF_01260,,,,,,,AHGDBNMD_00338,2
1,fadH_1,2%2C4-dienoyl-CoA reductase,CDS,cloud,C,exact_accessory,soft_accessory,749.0,749,1,,,,KFHGEANF_01266,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01266,,,,,,,,2
1,fadH_2,2%2C4-dienoyl-CoA reductase,CDS,cloud,C,exact_accessory,soft_accessory,1193.0,1193,1,,,,KFHGEANF_01267,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01267,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1169.0,1169,1,,,,KFHGEANF_01270,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01270,,,,,,,,2
1,dinG_1,putative ATP-dependent helicase DinG,CDS,cloud,C,exact_accessory,soft_accessory,743.0,743,1,,,,KFHGEANF_01271,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01271,,,,,,,,2
1,tsaB_1,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,CDS,cloud,C,exact_accessory,soft_accessory,488.0,488,1,,,,KFHGEANF_01272,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01272,,,,,,,,2
1,tsaB_2,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,CDS,cloud,C,exact_accessory,soft_accessory,251.0,251,1,,,,KFHGEANF_01273,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01273,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,170.0,170,1,,,,KFHGEANF_01274,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_01274,,,,,,,,2
1,ufaA1,Tuberculostearic acid methyltransferase UfaA1,CDS,cloud,C,exact_accessory,soft_accessory,434.0,434,1,,,,KFHGEANF_02601,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02601,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,806.0,806,1,,,,KFHGEANF_02602,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02602,,,,,,,,2
1,bioD,ATP-dependent dethiobiotin synthetase BioD,CDS,cloud,C,exact_accessory,soft_accessory,215.0,215,1,,,,KFHGEANF_02609,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02609,,,,,,,,2
1,bioD1,ATP-dependent dethiobiotin synthetase BioD 1,CDS,cloud,C,exact_accessory,soft_accessory,458.0,458,1,,,,KFHGEANF_02610,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02610,,,,,,,,2
1,bioC,Malonyl-[acyl-carrier protein] O-methyltransferase,CDS,cloud,C,exact_accessory,soft_accessory,392.0,392,1,,,,KFHGEANF_02611,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02611,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,131.0,131,1,,,,KFHGEANF_02612,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02612,,,,,,,,2
1,dinG_2,putative ATP-dependent helicase DinG,CDS,cloud,C,exact_accessory,soft_accessory,665.0,665,1,,,,KFHGEANF_02618,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02618,,,,,,,,2
1,dinG_3,putative ATP-dependent helicase DinG,CDS,cloud,C,exact_accessory,soft_accessory,1403.0,1403,1,,,,KFHGEANF_02619,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02619,,,,,,,,2
1,fadE_1,Acyl-coenzyme A dehydrogenase,CDS,cloud,C,exact_accessory,soft_accessory,1457.0,1457,1,,,,KFHGEANF_02627,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02627,,,,,,,,2
1,fadE_2,Acyl-coenzyme A dehydrogenase,CDS,cloud,C,exact_accessory,soft_accessory,434.0,434,1,,,,KFHGEANF_02628,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02628,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,365.0,365,1,,,,KFHGEANF_02629,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02629,,,,,,,,2
1,arnT,Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase,CDS,cloud,C,exact_accessory,soft_accessory,932.0,932,1,,,,KFHGEANF_02632,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02632,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,242.0,242,1,,,,KFHGEANF_02633,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02633,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,719.0,719,1,,,,KFHGEANF_02669,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02669,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1028.0,1028,1,,,,KFHGEANF_02670,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02670,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,182.0,182,1,,,,KFHGEANF_02679,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02679,,,,,,,,2
1,focA_2,putative formate transporter 1,CDS,cloud,C,exact_accessory,soft_accessory,656.0,656,1,,,,KFHGEANF_02680,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02680,,,,,,,,2
1,focA_3,putative formate transporter 1,CDS,cloud,C,exact_accessory,soft_accessory,209.0,209,1,,,,KFHGEANF_02681,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02681,,,,,,,,2
1,cmoA_1,Carboxy-S-adenosyl-L-methionine synthase,CDS,cloud,C,exact_accessory,soft_accessory,488.0,488,1,,,,KFHGEANF_02693,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02693,,,,,,,,2
1,cmoA_2,Carboxy-S-adenosyl-L-methionine synthase,CDS,cloud,C,exact_accessory,soft_accessory,251.0,251,1,,,,KFHGEANF_02694,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_02694,,,,,,,,2
1,mdtA_4,Multidrug resistance protein MdtA,CDS,cloud,C,exact_accessory,soft_accessory,806.0,806,1,,,,KFHGEANF_04581,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04581,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,242.0,242,1,,,,KFHGEANF_04591,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04591,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,272.0,272,1,,,,KFHGEANF_04592,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04592,,,,,,,,2
1,cheW_2,Chemotaxis protein CheW,CDS,cloud,C,exact_accessory,soft_accessory,245.0,245,1,,,,KFHGEANF_04604,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04604,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,227.0,227,1,,,,KFHGEANF_04605,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04605,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,353.0,353,1,,,,KFHGEANF_04607,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04607,,,,,,,,2
1,cheA_2,Chemotaxis protein CheA,CDS,cloud,C,exact_accessory,soft_accessory,863.0,863,1,,,,KFHGEANF_04608,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04608,,,,,,,,2
1,cheA_3,Chemotaxis protein CheA,CDS,cloud,C,exact_accessory,soft_accessory,824.0,824,1,,,,KFHGEANF_04609,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04609,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,113.0,113,1,,,,KFHGEANF_04616,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04616,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,224.0,224,1,,,,KFHGEANF_04622,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04622,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,344.0,344,1,,,,KFHGEANF_04630,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04630,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,314.0,314,1,,,,KFHGEANF_04631,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04631,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,140.0,140,1,,,,KFHGEANF_04638,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04638,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,185.0,185,1,,,,KFHGEANF_04660,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04660,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,272.0,272,1,,,,KFHGEANF_04662,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04662,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,2828.0,2828,1,,,,KFHGEANF_04664,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04664,,,,,,,,2
1,lptB_4,Lipopolysaccharide export system ATP-binding protein LptB,CDS,cloud,C,exact_accessory,soft_accessory,443.0,443,1,,,,KFHGEANF_04666,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_04666,,,,,,,,2
15,,hypothetical protein,CDS,persistent,P,exact_core,soft_core,1515.8,1511,15,IJBHHNBA_01409,CPFIEJMN_02141,FKIKDOPA_04872,KFHGEANF_04680,MKACMLCG_04412,NMLJHHJO_00293,NFFLFIEF_02958,GIHCKAFH_03481,"{'color': {'r': 247, 'g': 165, 'b': 7, 'a': 0.0}, 'size': 15.0}",KFHGEANF_04680,AADFBFMN_04746,PFGAHHNN_00828,HCPBJEEI_03290,PNJLNNEM_01948,FLLLBHKB_04357,ACOGLMFH_00760,AHGDBNMD_03612,3
1,prtR_2,HTH-type transcriptional regulator PrtR,CDS,cloud,C,exact_accessory,soft_accessory,578.0,578,1,,,,KFHGEANF_06186,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06186,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,839.0,839,1,,,,KFHGEANF_06187,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06187,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,209.0,209,1,,,,KFHGEANF_06188,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06188,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,233.0,233,1,,,,KFHGEANF_06189,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06189,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,287.0,287,1,,,,KFHGEANF_06190,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06190,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,515.0,515,1,,,,KFHGEANF_06191,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06191,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,545.0,545,1,,,,KFHGEANF_06192,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06192,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,122.0,122,1,,,,KFHGEANF_06193,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06193,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,455.0,455,1,,,,KFHGEANF_06194,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06194,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,788.0,788,1,,,,KFHGEANF_06195,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06195,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,725.0,725,1,,,,KFHGEANF_06196,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06196,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,263.0,263,1,,,,KFHGEANF_06197,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06197,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,296.0,296,1,,,,KFHGEANF_06198,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06198,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,518.0,518,1,,,,KFHGEANF_06199,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06199,,,,,,,,2
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,437.0,437,1,,,,KFHGEANF_06200,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06200,,,,,,,,2
2,recF_1,DNA replication and repair protein RecF,CDS,cloud,C,exact_accessory,soft_accessory,2666.0,2666,1,,,,KFHGEANF_00019|KFHGEANF_06201,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06201,,,,,,,,4
1,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,1562.0,1562,1,,,,KFHGEANF_06202,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06202,,,,,,,,2
2,,hypothetical protein,CDS,cloud,C,exact_accessory,soft_accessory,173.0,173,1,,,,KFHGEANF_00016|KFHGEANF_06203,,,,,"{'color': {'r': 121, 'g': 222, 'b': 255, 'a': 0.0}, 'size': 1.0}",KFHGEANF_06203,,,,,,,,3
